Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Purples,10.0,355.311661626,46469.9625276,Social,118.437220542,No,392.359448448,Yes,Female,By_16:00,0.0301011991687,,1.57624900807,8.40760221006,0.442528005224,2.15866081882,9884.0,9.40977854189,397.255489175,4718.10546283,50949.9183944,No,153945.936786,19.9312691311,155.019017409,7.10854504723,14155.8124303,70.0,30-45,2.0,668.49129025,13.0,Foot_or_bicycle,Public_Sector,543.450810294,2.0,Yes
Greens,7.0,958.900374012,89205.1015717,Financial,319.633458004,No,279.085619286,Yes,Male,By_16:00,0.787046370329,0.809224345954,7.72257238626,7.35224112635,4.48152722092,1.35575208347,4610.0,6.07775726821,519.178531114,3829.21325509,59983.2943548,No,77888.7828924,22.7854894859,241.574532984,46.7353533953,102495.180934,60.0,Below_30,2.0,793.094377711,10.0,Public_or_other,Industry_or_other,595.850275559,0.0,Yes
Greens,5.0,552.419628222,47624.4641631,Healthcare,184.139876074,No,258.631998557,Yes,Male,After_16:00,0.435722485417,0.440640521701,6.96342973039,2.39130463451,4.69801517203,5.84826419596,4971.0,44.5342388004,495.576023393,3577.47203236,58196.6429671,No,66890.5106777,22.2615368605,267.565696327,75.2170770196,34101.6338367,80.0,30-45,4.0,779.573297435,14.0,Foot_or_bicycle,Public_Sector,615.383353052,0.0,No
Browns,2.0,859.065466432,87977.3928354,Healthcare,286.355155477,No,307.231740559,Yes,Female,After_16:00,0.76711851242,0.345932584023,6.38618689962,8.09708241373,2.16161271324,5.39054431254,6048.0,23.9632570418,372.954348089,3818.22610177,43750.3274079,No,94391.342407,19.3120259965,261.181197877,44.3322243169,82295.6302239,80.0,Below_30,3.0,555.317738885,7.0,Foot_or_bicycle,Student_or_Unemployed,377.871303097,0.0,No
Greens,7.0,191.625416279,18427.9352986,Education,63.8751387596,No,288.499338811,Yes,Male,By_16:00,0.405423182994,0.940795982955,3.91513430281,6.03083490161,0.13435781002,3.57022721786,3429.0,33.8529885979,516.093369966,3917.18012804,61011.0872739,No,83231.8684945,22.717688482,256.548024253,69.2672824021,4153.90849031,100.0,45_and_up,4.0,815.488943304,15.0,Foot_or_bicycle,Public_Sector,644.309952907,1.0,No
Greens,3.0,629.359256817,59447.3621113,Financial,209.786418939,No,283.370879831,Yes,Male,After_16:00,0.194009567611,0.200653074309,0.46207772335,0.020354243461,2.52639408456,2.17669244623,4559.0,94.4123043213,490.744314651,3815.19742761,59911.5055733,No,80299.055536,22.1527495957,287.284269307,19.7955561336,44230.1279902,60.0,30-45,0.0,814.238611257,11.0,Public_or_other,Industry_or_other,688.463280176,1.0,No
Whites,9.0,400.382288268,43187.5943206,Social,133.460762756,No,323.597688404,Yes,Male,By_16:00,0.147555755451,0.0872184925247,4.89966758294,8.99121875176,2.45279636933,2.86829051562,3254.0,36.3407311961,305.645413497,3847.26771104,42271.8212072,No,104715.463941,17.4827175661,264.876471126,60.6397709344,17955.2359582,70.0,45_and_up,2.0,575.245585,8.0,Motorcycle_or_truck,Student_or_Unemployed,535.609888025,2.0,No
Yellows,1.0,1016.49763353,205982.402595,Financial,338.832544509,Yes,607.917999417,No,Female,After_16:00,0.738626830047,0.961913189152,2.85962701077,1.94309273269,4.72002118593,0.43257890502,5472.0,11.9808218675,633.684029545,7346.54805326,70158.8501596,Yes,369564.294015,25.1730814472,200.349589372,22.4022946088,115156.325763,60.0,45_and_up,1.0,829.575291878,12.0,Motorcycle_or_truck,Services_or_Retail,396.935730692,0.0,No
Blues,8.0,,393264.941013,Social,715.428063101,Yes,549.691801729,No,Female,After_16:00,0.798221402802,0.695836472558,0.550450547598,6.02096920135,4.90202321671,7.89636703907,7184.0,2.85656338092,30.0085012179,5556.93501973,15661.6922222,Yes,302161.076888,5.47800157155,576.265535345,14.4680136116,512562.741535,70.0,Below_30,3.0,167.112733342,12.0,Car,Industry_or_other,170.271804147,0.0,Yes
Greys,1.0,442.740352366,58842.3714761,Foreign_Affairs,147.580117455,No,398.714762467,Yes,Female,By_16:00,0.0474712555297,0.515975726768,0.614107665606,7.37341803964,9.97667436022,5.53738479037,5053.0,29.0464265971,374.496781889,4736.14118845,46830.5636886,Maybe,158973.461809,19.3519193335,172.492780813,20.7305207849,21937.4711856,40.0,45_and_up,2.0,596.324453328,7.0,Motorcycle_or_truck,Hightech,438.811746762,1.0,No
Browns,2.0,84.5297879305,14528.6700294,Financial,28.1765959768,No,515.629000796,No,Female,By_16:00,0.71860426967,0.170013763243,6.9792789733,7.934191979,4.11423885496,4.56711994717,9567.0,76.823076047,476.079071384,6108.44815073,58633.5780228,No,265873.266462,21.8192362695,31.0859441227,4.91267768666,832.097156819,60.0,30-45,4.0,,5.0,Foot_or_bicycle,Services_or_Retail,512.241708632,1.0,Yes
Greens,3.0,633.63818859,71025.5173102,Education,211.21272953,No,336.274794934,Yes,Male,After_16:00,0.350365145598,0.906076452928,7.93599423254,2.30868976098,6.92734040553,1.93761545699,4878.0,68.5072784312,551.540702672,4465.82935469,65390.2690633,No,113080.737708,23.4849037186,245.915086529,10.4006256443,44832.0298451,100.0,Below_30,0.0,868.065010498,,Car,Services_or_Retail,676.101797199,0.0,No
Greens,6.0,,84728.0476608,Healthcare,273.109135248,No,310.235128473,Yes,Male,After_16:00,0.864033971913,0.957915082574,6.01820577867,4.103477553,9.85368900932,9.14231171831,5516.0,46.9966873992,504.020348922,4110.39198258,60400.8494466,No,96245.8349389,22.4503975226,238.071656269,44.235745864,74871.708891,80.0,30-45,1.0,806.494530111,12.0,Motorcycle_or_truck,Public_Sector,643.705406466,0.0,Yes
Reds,9.0,130.465388646,18474.4151655,Foreign_Affairs,43.4884628821,No,424.811868277,Yes,Male,After_16:00,0.39032848808,0.242304344429,7.59181089234,9.03895694064,4.41988816252,9.53641311266,8609.0,72.1388730686,360.370180866,4968.8590445,46660.2194649,Maybe,180465.123429,18.9834185769,163.251721799,36.5456412081,1944.73486673,40.0,Below_30,2.0,597.440506887,8.0,Foot_or_bicycle,Services_or_Retail,461.252314561,2.0,No
Browns,7.0,210.823309174,34674.5188536,Healthcare,70.2744363915,No,493.415822795,Yes,Male,After_16:00,0.131293454906,0.0901632471941,7.88804092444,0.717208823189,9.96947721345,5.6952028675,5901.0,74.0643134806,466.453764535,5867.06575702,56209.1231695,No,243459.174185,21.5975407057,55.1464717835,23.5847520875,5018.77084653,80.0,30-45,1.0,697.514166431,8.0,Car,Hightech,456.72839214,0.0,No
Yellows,8.0,930.473908747,173697.130769,Social,310.157969582,Yes,560.027946414,No,Female,After_16:00,0.868200436933,0.358650547452,0.176813851576,5.26109219762,6.53772141319,5.4343823879,4345.0,51.674390235,325.86959453,6252.0186532,49475.8038518,Yes,313631.300765,18.0518584786,211.386862384,44.3707917584,96518.1240649,70.0,45_and_up,0.0,651.149803639,11.0,Public_or_other,Hightech,603.728747842,1.0,No
Oranges,2.0,209.512310676,33452.6485148,Other,69.8374368921,No,479.007392074,Yes,Female,By_16:00,0.974401945248,0.0296731579583,1.13196295919,,1.39259384014,3.94941623788,9504.0,75.3105196636,356.342745389,5502.75941152,48734.9577888,Maybe,229448.081661,18.8770428137,147.38970726,78.3172915922,4957.10502855,50.0,Below_30,1.0,631.313829458,10.0,Public_or_other,Hightech,525.409238801,0.0,No
Browns,6.0,382.439167428,64124.9110785,Financial,127.479722476,No,503.020479124,No,Female,After_16:00,0.711188720074,0.995698232204,4.09389155684,8.52958019357,2.04323410522,7.66997427912,6641.0,16.216200171,407.700802931,5845.6063971,51654.5048891,No,253029.602418,20.1916022874,102.311967862,78.0855109915,16388.559365,60.0,45_and_up,2.0,645.213042497,5.0,Car,Public_Sector,455.960543895,1.0,Yes
Pinks,1.0,117.407495913,11799.4456622,Financial,39.1358319708,No,301.499803838,Yes,Female,By_16:00,0.186981560662,0.072241100017,7.93954476481,5.7984488504,8.12582881888,8.81880526664,6321.0,51.228289539,384.354515172,3783.70706872,45295.6420876,No,90902.1317143,19.6049614938,246.861562688,25.923386612,1580.74917602,60.0,30-45,0.0,580.890439878,5.0,Motorcycle_or_truck,Student_or_Unemployed,409.642791679,1.0,Yes
Purples,8.0,299.832970732,39285.18572,Education,99.9443235772,No,393.070704907,Yes,Male,After_16:00,0.296707884409,0.373941010563,,4.1977706016,3.87438022764,2.67105959589,8335.0,99.659410934,427.084298835,4784.87564674,51479.5857108,No,154504.579056,20.6660179724,134.830570495,83.49500068,10098.8121389,100.0,45_and_up,0.0,654.783805107,15.0,Motorcycle_or_truck,Services_or_Retail,462.201731329,1.0,Yes
Browns,4.0,191.526640464,20058.6218551,Environment,63.842213488,No,314.19057641,Yes,Male,By_16:00,0.752313581062,0.337452957872,1.50581027847,5.89079584926,0.341826968361,0.106335065793,6304.0,56.9570331369,389.693988682,3921.29374146,46039.6389494,No,98715.7183046,19.740668395,232.555322891,79.021916748,4149.67043654,,45_and_up,4.0,589.162779104,9.0,Car,Services_or_Retail,414.038263298,1.0,Yes
Greens,,953.541866218,83777.7149989,Social,317.847288739,No,263.578510709,Yes,Male,After_16:00,0.930407808395,0.379562305054,3.79016985651,5.06490133703,9.26160841482,3.83711126633,4435.0,59.762460948,477.773486606,3591.33208031,56433.433139,No,69473.6313077,21.8580302545,256.506867215,5.42497269344,101354.746248,,Below_30,1.0,754.84789181,11.0,Foot_or_bicycle,Industry_or_other,596.987805586,0.0,Yes
Browns,2.0,904.658085592,94668.0422308,Environment,301.552695197,No,313.935321218,Yes,Male,After_16:00,0.1300289426,0.0135777581017,5.55047100177,7.80804532813,7.15112052625,7.03157683369,8208.0,67.8351428127,352.778760737,3844.91073365,42432.4807907,No,98555.385908,18.7824056163,263.319188273,59.8055389011,91245.580676,90.0,Below_30,1.0,541.79179659,8.0,Foot_or_bicycle,Public_Sector,385.794759611,2.0,No
Oranges,6.0,230.18496592,25530.7075635,Military,76.7283219733,No,332.741638379,Yes,Female,By_16:00,0.59224505024,0.181656857021,5.13207545737,2.15636026813,9.26738721319,8.55112176854,7982.0,5.33008186612,474.111136535,4275.63865686,54365.0293436,Maybe,110716.997911,21.7740932425,172.124470198,38.7230809079,5973.96371481,30.0,Below_30,5.0,694.311807769,7.0,Public_or_other,Hightech,468.6752421,0.0,Yes
Browns,9.0,273.169694286,27612.8452539,Social,91.0565647619,No,303.249362922,Yes,Female,After_16:00,0.355212047929,0.703938001068,9.22378456919,5.86134560639,4.74521754775,9.13298328873,9579.0,97.7834068239,359.786563825,3752.06675687,42560.5360195,No,91960.1761127,18.96804059,272.073890578,26.2802012963,8392.354551,70.0,30-45,3.0,541.575707732,7.0,Foot_or_bicycle,Student_or_Unemployed,374.885727995,3.0,No
Greys,10.0,158.715161176,25738.7553247,Military,52.9050537252,No,486.50844319,Yes,Female,By_16:00,0.782230125042,0.150568536716,0.938020655885,5.70739617338,5.14287960948,0.606364118867,7134.0,57.1562927216,384.371637819,5633.82770753,48482.3844341,Maybe,236690.465295,19.6053981806,,19.3914492847,2861.84976339,30.0,Below_30,1.0,600.28118519,5.0,Foot_or_bicycle,Services_or_Retail,411.391733668,3.0,No
Pinks,6.0,678.328393993,71466.6905738,Education,226.109464664,No,316.071203299,Yes,Female,After_16:00,0.889906921424,0.0228152070194,8.93108688528,6.62564670201,1.7824418284,2.42922799196,4922.0,54.6826072503,358.970939204,3878.6539114,44506.8976816,No,99901.0055552,18.9465284209,,84.9418852245,51361.5994754,100.0,30-45,2.0,581.116011031,9.0,Car,Hightech,452.870090835,0.0,No
Greens,8.0,,23733.8930605,Education,68.1839112489,No,348.086412553,Yes,Female,By_16:00,0.835871894611,0.847135651857,2.612031647,6.02453567088,6.87839197693,8.04107620614,6236.0,99.7001612559,546.179628526,4573.22338258,65060.4639409,No,121164.150604,23.3704862706,233.846294216,15.466786176,4727.22966444,100.0,Below_30,3.0,862.209973134,15.0,Foot_or_bicycle,Hightech,671.67933241,1.0,Yes
Browns,1.0,253.791788884,25719.6058153,Environment,84.5972629612,No,,Yes,Male,By_16:00,0.895574344089,0.205518512987,2.52953273244,7.29911010014,8.84061828023,9.38765069703,6554.0,83.9269667398,385.864380498,3811.96965236,45337.4939429,No,92430.6467754,19.6434309757,246.136922712,93.199969409,7251.2941635,90.0,45_and_up,1.0,579.852829357,8.0,Motorcycle_or_truck,,404.344955991,0.0,Yes
Browns,2.0,1015.69536137,168295.176181,Environment,338.565120458,No,497.083621471,Yes,Female,After_16:00,0.297676458955,0.834604596253,1.91427416401,1.75473439042,3.22162650991,2.77336761821,8400.0,26.0512615787,453.059582148,5876.955379,54821.8943577,No,247092.126735,21.2851963145,76.0066058259,1.70344344806,114974.905911,90.0,,4.0,677.607773491,9.0,Car,Public_Sector,440.291574821,1.0,No
Purples,9.0,713.32423044,99156.7360133,Environment,237.77474348,No,417.019631951,Yes,Female,After_16:00,0.470849640435,0.897819570033,6.87514128629,2.40308305714,6.73419695813,2.1636487823,6326.0,75.6316805957,358.828286079,4887.85289167,46917.559612,No,173905.373432,18.9427634225,164.576271914,,56784.6033805,90.0,30-45,1.0,606.429224633,14.0,Car,Services_or_Retail,483.563607934,0.0,No
Purples,4.0,454.513512231,65628.2868834,Healthcare,151.504504077,No,433.177134127,Yes,Male,After_16:00,0.0678265097085,0.0631719427183,6.72423259355,2.38381825853,1.12427269109,2.60697520571,3281.0,48.2889244566,516.192514599,5364.15637046,61118.4245428,No,187642.42953,22.7198704794,80.4118411378,12.2442648513,23115.1192597,80.0,45_and_up,2.0,778.739065568,14.0,Car,Services_or_Retail,541.696178034,0.0,No
Purples,6.0,686.191979019,104600.835776,Financial,228.730659673,No,457.310077825,Yes,Female,By_16:00,0.297290184768,0.509761732304,7.96441135695,1.98027400766,8.21136850631,8.8280945248,9801.0,83.2814833382,398.758041738,5370.61686172,51583.905954,No,209132.50728,19.968926905,,95.4637177289,52556.4453342,60.0,Below_30,1.0,663.50436039,9.0,Car,Hightech,517.782230087,3.0,Yes
Greens,9.0,658.57177365,,Environment,219.52392455,No,233.925847054,Yes,Male,By_16:00,0.596147611737,0.159053090028,1.91730875988,5.59688889189,3.58945943182,4.52551370021,4033.0,76.6755723162,489.025789952,3317.31005045,57634.2718167,No,54721.30192,22.1139275108,297.210020456,18.1732079713,48420.2773744,90.0,45_and_up,1.0,,14.0,Foot_or_bicycle,Hightech,631.976922633,3.0,Yes
Oranges,7.0,292.562467186,34403.7367735,Other,97.5208223952,No,352.78349719,Yes,Female,After_16:00,0.76008048933,0.0300726823043,4.45101170801,4.9043703475,1.71064766822,0.483348825946,3703.0,,462.439595132,4452.71416217,51280.6959722,Maybe,124456.19589,21.5044087371,206.358124504,25.5772196688,9617.83162303,50.0,Below_30,0.0,631.652439889,10.0,Public_or_other,Industry_or_other,360.356909103,0.0,No
Pinks,7.0,306.354733182,70116.291962,Social,102.118244394,No,686.61865838,No,Male,After_16:00,0.111382468371,0.973501319299,6.59022992011,6.25619164202,9.69785143156,4.63907841826,8832.0,38.9488319401,638.841664195,8143.86991218,74268.3899794,No,471445.182035,25.2753172917,232.602191844,93.8746301923,10540.2540825,70.0,Below_30,0.0,,8.0,Foot_or_bicycle,Student_or_Unemployed,499.501723974,0.0,No
Browns,1.0,717.477837742,122747.388161,Environment,239.159279247,No,513.245350743,No,Male,After_16:00,0.18176762294,0.898289146135,3.1876033009,6.52371604461,4.32481257478,2.44681078475,5795.0,96.1102530127,429.009880115,5990.47326766,54301.6937847,No,263420.790059,20.7125536841,72.9919710944,68.2044743793,57446.3201294,90.0,Below_30,2.0,682.123262241,8.0,Car,Public_Sector,489.379670127,0.0,Yes
Blues,6.0,1059.83112285,20882.1079807,Environment,353.277040949,Yes,59.1097228525,Yes,Female,By_16:00,0.670409273356,0.641298386268,9.17345807422,7.6317956252,7.99069723347,9.93081793189,9002.0,78.1110974727,600.912126768,1792.92148206,52133.5926526,Yes,3493.9593357,24.5135090668,582.546136013,19.4036522415,125167.944703,90.0,30-45,1.0,613.161391218,15.0,Public_or_other,Industry_or_other,132.859009682,0.0,Yes
Blues,7.0,1169.7938533,215210.204749,Education,389.931284434,Yes,551.918282375,No,Male,By_16:00,0.159216889413,0.801928546512,7.06793109188,2.5362935476,1.60024142358,8.37279041065,6462.0,57.7971045161,188.588362869,5896.35954949,31442.5479834,Yes,304613.79042,13.7327478266,372.042310658,10.2197936736,152446.337864,100.0,30-45,1.0,376.505445112,16.0,Public_or_other,Hightech,303.168180585,2.0,Yes
Greens,7.0,355.579395851,31923.1163784,Healthcare,118.526465284,No,269.333235425,Yes,Female,After_16:00,0.722441578982,0.890996767441,6.39340581372,2.83794982359,3.50309588946,4.08994162688,9952.0,26.4376863372,511.421675077,3716.17570441,60541.7264808,No,72540.3917046,22.6146340912,277.762194783,96.2754413253,14177.0494379,80.0,45_and_up,3.0,814.37212399,11.0,Foot_or_bicycle,Services_or_Retail,654.318585756,2.0,No
Greens,9.0,466.556969796,43987.5066694,Environment,155.518989932,No,282.843315074,Yes,Male,By_16:00,0.268810793757,0.872570999432,8.18111746106,8.82539507234,1.11248668516,8.48143226933,9218.0,40.7335622469,500.730390934,3829.89393261,59759.4785456,,80000.3408823,22.3770058528,262.519550836,92.1805068152,24351.6752194,90.0,30-45,0.0,802.696268448,12.0,Public_or_other,Public_Sector,647.509170198,0.0,Yes
Oranges,8.0,749.83389761,114870.649606,Other,249.944632537,No,459.584382509,Yes,Female,By_16:00,0.40092070424,0.563825077377,6.76190532511,7.14051379822,3.2713381527,1.01716805948,5286.0,79.1671213461,374.394634742,5344.63309457,46013.7972226,Maybe,211217.804646,19.3492799541,193.353949388,56.8209987599,62732.2639664,50.0,45_and_up,1.0,562.24604301,8.0,Car,Services_or_Retail,358.664866982,0.0,Yes
Greens,7.0,173.568770165,16190.1954965,Education,57.8562567218,No,279.834825374,Yes,Male,By_16:00,0.986407000106,0.717381972587,6.34036338888,0.756249059923,5.00727823004,6.753961707,9696.0,94.011184806,512.077381372,3822.50301648,60174.1329016,No,78307.529492,22.6291268363,255.103484579,30.8586391155,3415.20269858,100.0,30-45,5.0,802.999872738,16.0,Foot_or_bicycle,Public_Sector,628.293493932,1.0,No
Greens,9.0,205.793809433,21022.7407295,Education,68.5979364776,No,306.463165059,Yes,Female,By_16:00,0.795290269656,0.351148016052,6.83624324389,0.774864482228,1.50481532793,0.898213994224,6711.0,64.0633287374,525.576543206,4115.78473701,63047.4421527,No,93919.6715383,22.9254562268,270.045300343,94.5036680438,4784.27482546,100.0,Below_30,1.0,846.957485614,16.0,Car,Student_or_Unemployed,686.584560444,0.0,No
Browns,4.0,276.696381911,30107.565699,Financial,92.2321273035,No,326.432519548,Yes,Female,By_16:00,0.633117466234,0.820079880534,3.16152422689,9.91102033528,9.882514989,0.994118484668,6494.0,97.7466163924,403.576780964,4071.47875741,47509.4616532,No,106558.189819,20.0892205166,213.837131941,25.6122695748,8608.99743424,60.0,30-45,0.0,606.165970991,5.0,Foot_or_bicycle,Industry_or_other,420.607232337,1.0,No
Purples,3.0,633.726963976,78529.2671797,Financial,211.242321325,No,371.749688637,Yes,Female,By_16:00,0.966416921234,,0.793516382109,5.58001661673,4.1862469539,1.92441643681,6764.0,46.6501301154,371.873904103,4461.24469458,48276.7127975,No,138197.831002,19.2840323611,183.873548972,31.2669447623,44844.5606403,60.0,30-45,3.0,637.23226,8.0,Motorcycle_or_truck,Hightech,530.741554888,0.0,Yes
Oranges,8.0,261.007684182,35635.5519824,Military,87.0025613942,No,409.591986849,Yes,Female,By_16:00,0.288897652412,0.83741463162,1.37713971082,5.56597830262,0.21320726024,3.86259982595,9304.0,51.8143624533,322.917128172,4741.75412483,43080.5866879,Maybe,167765.595691,17.9698950518,205.733909422,49.5317146648,7666.44825054,30.0,30-45,0.0,555.153150076,7.0,Motorcycle_or_truck,Public_Sector,447.137072072,0.0,No
Browns,2.0,963.733439864,157888.66626,Social,321.244479955,No,491.490674898,Yes,Male,After_16:00,0.826184360078,0.282908824505,3.53194331517,9.91541550728,6.93111944944,7.14040715247,8787.0,96.6195904417,472.977904026,5860.86255703,56778.188506,No,241563.083512,21.748055178,48.8527519494,55.5805752054,,70.0,Below_30,3.0,704.929500911,7.0,Foot_or_bicycle,Services_or_Retail,460.200639597,1.0,Yes
Purples,7.0,503.767676293,63541.769847,Social,167.922558764,No,378.399247335,Yes,Male,After_16:00,0.769728260348,0.660846848041,6.12638658378,4.9619586044,5.91287808493,3.32227588398,5237.0,19.5820863592,,4620.3343549,50995.207511,No,143185.990384,20.4492283662,147.553769848,96.8500644434,28375.9083007,70.0,Below_30,2.0,655.688228918,12.0,Motorcycle_or_truck,Industry_or_other,482.98891498,0.0,Yes
Pinks,8.0,347.057548149,80421.7262672,Healthcare,115.685849383,No,695.173408815,No,Female,After_16:00,0.462262280518,0.854435683927,6.26951646991,8.8244608813,9.25742016407,4.26018444588,4671.0,67.8189811762,647.93136547,8247.59681909,75219.2411151,No,483266.068323,25.4544959775,244.917903747,2.57082602475,13508.9015968,80.0,45_and_up,3.0,904.107394318,9.0,Motorcycle_or_truck,Student_or_Unemployed,502.903649027,1.0,Yes
Browns,7.0,717.989295133,76348.7696993,Social,239.329765044,,319.010757752,Yes,Female,By_16:00,0.988411269849,0.330885654083,5.79947076738,8.17140117753,5.05220823223,,3771.0,86.6813121131,380.397360268,3950.90229805,45677.6732167,No,101767.863561,19.5037781024,228.866995878,61.2015577732,57528.0662013,,Below_30,2.0,587.795689439,7.0,Public_or_other,Student_or_Unemployed,427.073978845,1.0,No
Reds,5.0,475.399695622,76006.6921342,Other,,No,479.638667215,Yes,Female,After_16:00,,0.688802941237,6.20963507332,9.19504000107,3.14261299092,4.60108316969,4589.0,29.1694419226,400.516323718,5597.41931959,52094.0613372,Maybe,230053.251088,20.0129039302,103.016402032,53.527450352,25280.1188538,50.0,30-45,2.0,667.100255831,11.0,Car,,,0.0,No
Purples,8.0,253.321594178,29714.4560407,Social,84.4405313926,No,351.898022794,Yes,Female,After_16:00,0.85303599271,0.467088280013,2.60458463337,9.05331300804,7.88374249358,8.59186901012,8715.0,93.3431068202,423.899114053,4366.77845605,51004.3838558,No,123832.218446,20.5888104089,167.370207866,6.02077133954,7224.64387327,70.0,Below_30,0.0,658.224838494,13.0,Foot_or_bicycle,Public_Sector,483.051667135,0.0,No
Purples,3.0,106.398586506,14962.4719109,Financial,35.466195502,No,421.879812568,Yes,Female,After_16:00,0.629400867037,0.894903229084,0.54571230663,3.50661801407,8.94714661175,1.10519074136,4306.0,71.1622070055,370.538032965,4959.87419161,47669.9758414,No,177982.576253,19.2493644821,153.784455782,23.9726494765,1303.31721888,60.0,30-45,2.0,611.649958545,8.0,Motorcycle_or_truck,Hightech,471.955495239,0.0,Yes
Yellows,2.0,-281.70217528,-53552.2565592,Financial,-93.9007250932,Yes,570.307167555,No,Female,After_16:00,0.0468494587112,0.278003403684,4.97502680169,2.41811948828,1.97005688678,1.67819121154,5613.0,14.6222280106,334.256743218,6371.58516199,51323.0092314,Yes,325250.265365,18.2826897151,232.600222612,56.5077439882,8733.44544793,60.0,45_and_up,1.0,681.49761012,10.0,Car,Hightech,647.271648937,4.0,Yes
Greys,8.0,174.116147479,26920.0077504,Military,58.0387158265,No,463.828452561,Yes,Male,After_16:00,0.460144742159,0.94853111729,8.30687556881,6.61123106256,9.75322242826,9.51187555213,9099.0,24.5806508465,440.880863531,5520.04625267,52936.948372,Maybe,215136.833405,20.9971632258,101.915749786,61.4113169955,3436.53125061,30.0,Below_30,3.0,655.814657131,6.0,Public_or_other,Hightech,425.278069394,0.0,Yes
Pinks,6.0,321.584238016,75206.3266314,,107.194746005,No,701.585939927,No,Female,By_16:00,0.33857566677,0.533180522034,0.230380371213,0.450643654913,8.48241012311,0.240993520711,3028.0,59.1176658403,654.519213217,8324.89782571,75672.194114,No,492222.831103,25.5835731128,254.04457988,24.1758665768,11607.9083172,70.0,45_and_up,1.0,906.697539754,8.0,Foot_or_bicycle,Services_or_Retail,494.943307731,0.0,No
Pinks,4.0,325.260621269,37391.930362,Financial,108.42020709,No,344.879717219,Yes,Male,After_16:00,0.633458832512,0.827614283422,8.71034336742,4.3293590378,5.14669951517,1.31764559075,9971.0,43.8082568347,386.441385698,4221.67994359,49406.8845506,No,118942.019349,19.6581124653,198.408069872,92.3340978101,11873.3615125,60.0,Below_30,1.0,656.820403677,5.0,Car,Hightech,549.070369655,1.0,No
Purples,1.0,274.434391473,37854.7210339,Social,91.4781304909,No,413.811703746,Yes,Male,After_16:00,,0.160300947493,8.48664377816,3.84835957317,9.71388434758,2.14045331115,3570.0,69.4395537721,391.741055753,4921.59914897,47613.8351455,No,171240.126157,19.7924494632,169.722542466,35.8886638191,8469.7264886,70.0,30-45,2.0,594.812288412,10.0,Car,,401.72833572,6.0,No
Greens,1.0,151.589453339,13419.0430485,Social,50.5298177798,No,265.566820505,Yes,Female,By_16:00,0.665479284711,0.730258116731,4.40853473963,1.0542555619,0.402375785634,5.77882957878,5622.0,0.818262225948,490.201029723,3636.0702645,58567.1637154,No,70525.7361534,22.1404839541,275.858956508,6.72489611898,2613.79230264,70.0,Below_30,,790.269030301,11.0,Car,Services_or_Retail,645.062842999,0.0,Yes
Browns,10.0,377.104270699,61699.6388132,Healthcare,125.701423566,No,490.842800843,Yes,Female,After_16:00,0.361263583647,0.602125750156,5.49533136422,9.66303530848,9.90229484159,2.51789234346,3125.0,25.589649193,475.615373383,5859.6587552,57583.495037,No,240926.655139,21.8086077819,29.3291838547,52.0930096507,15936.5493102,80.0,30-45,1.0,720.397628129,7.0,Motorcycle_or_truck,Services_or_Retail,486.519023999,1.0,Yes
Greys,2.0,537.28678771,81628.942149,Foreign_Affairs,179.095595903,No,455.784195794,Yes,Male,By_16:00,0.512816685485,0.82911051577,9.27183292806,9.29238588782,7.01280973619,4.71172438236,4981.0,4.70886509866,434.217967241,5426.27789242,,Maybe,207739.233136,20.8378973805,126.183660943,83.3232952282,32264.3280678,40.0,45_and_up,0.0,637.282831334,8.0,Car,Hightech,,0.0,No
Greens,10.0,1024.27818595,109739.047133,Financial,341.426061982,No,321.413797459,Yes,Female,By_16:00,0.906435656827,0.800684659509,8.91981172841,1.73666609218,0.0825084955432,1.43711212091,5004.0,5.37681388669,487.145581391,4188.42913737,59815.1448274,No,103306.829197,22.0713747055,245.985010126,74.4022869971,116923.181863,60.0,45_and_up,1.0,804.908571679,8.0,Public_or_other,Public_Sector,668.672337361,0.0,Yes
Purples,10.0,661.577542188,81649.8380785,Environment,220.525847396,No,370.250648813,Yes,Female,By_16:00,0.295780582819,0.346545488341,1.53262410779,5.5826721387,9.1173177585,9.71770914737,6202.0,0.444796402007,321.648014489,4345.80251711,40850.5058379,No,137085.542947,17.9345480704,249.353279533,76.5934807248,48862.1752171,90.0,45_and_up,3.0,518.343139856,15.0,Car,Public_Sector,383.669723869,1.0,No
