,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
5914,Browns,8.0,195.537547875,32524.2885074,Education,65.1791826251,No,498.998103343,Yes,Female,By_16:00,0.973403194221,0.619459832786,6.36905991938,9.49752235087,3.090713243,2.0060346555,9384.0,51.0415820871,445.441459553,5880.86395254,55451.4303932,No,248999.10714,21.1054841108,55.0478546264,44.6766125737,4323.5050303,100.0,Below_30,0.0,697.169860283,10.0,Car,Hightech,492.745472702,0.0,No
2970,Browns,1.0,264.044241511,26976.3187626,Education,88.0147471702,No,306.497713508,Yes,Female,By_16:00,0.354288089322,0.990776073653,7.32403439004,8.41849127784,6.62810601527,6.33604153991,9024.0,66.8275788892,382.851965024,3830.68106513,44869.0877774,No,93940.8483854,19.5666033083,250.390306885,87.9386108136,7844.61046661,100.0,45_and_up,2.0,571.531093043,10.0,Car,Services_or_Retail,392.62910634,1.0,No
6144,Greys,4.0,288.883306986,42615.9013188,Foreign_Affairs,96.2944356619,No,442.558295564,Yes,Female,After_16:00,0.911945614964,0.588487249566,8.47535863752,0.981925667729,4.3786739232,0.887665785849,6435.0,8.75247961376,456.465853387,5338.51466241,52401.7029007,Maybe,195857.844972,21.3650615114,154.342982675,,9378.9127751,40.0,45_and_up,0.0,636.834741196,6.0,Public_or_other,Services_or_Retail,363.519287182,1.0,Yes
5224,Purples,5.0,200.012994315,28115.4942936,Education,66.670998105,No,421.705015566,Yes,Male,By_16:00,0.895917071262,0.302998786326,2.24774377653,0.559784295037,2.38130111713,5.67875844659,7029.0,70.5473652575,421.531570315,5060.11329629,53461.5625882,No,177835.120153,20.5312340183,120.215973982,,4521.69298642,100.0,Below_30,3.0,694.810908282,14.0,Car,Hightech,546.523986884,0.0,Yes
7820,Pinks,2.0,275.310483068,65015.6693324,Social,91.7701610228,No,708.461972909,No,Male,After_16:00,0.738276649266,0.755361545831,0.584141355939,1.20285885409,9.42086657975,6.63922332693,7511.0,25.564964232,646.254839876,8377.12940884,75118.9142755,No,501918.367058,25.4215428304,254.708782099,14.2269025091,8523.53261518,70.0,30-45,2.0,899.751065048,8.0,Foot_or_bicycle,Services_or_Retail,494.551023736,0.0,Yes
5361,Greens,4.0,265.085144738,26258.0447402,Environment,88.3617149127,No,297.16540434,Yes,Male,By_16:00,0.957017160719,0.274814714212,8.56133410707,9.81082552578,0.779122922104,7.14059158228,3168.0,85.9990929253,490.194352236,,59868.9933922,No,88307.2775365,22.1403331555,270.259661978,67.2403643606,7906.15437723,90.0,Below_30,4.0,810.05739961,12.0,Public_or_other,Industry_or_other,678.331884328,2.0,No
3562,Yellows,2.0,1187.39614294,300072.614819,Financial,395.798714313,Yes,758.144491045,No,Male,By_16:00,0.737741841935,0.808330148458,9.62050098926,8.67542121792,1.29487766651,5.32870027237,9149.0,59.2361817835,593.57226762,8768.58944569,74490.7886493,Yes,574783.069301,24.3633385976,297.214377863,79.0498179616,157062.420966,60.0,30-45,1.0,916.911031091,9.0,Public_or_other,Public_Sector,613.763082257,0.0,Yes
3182,Pinks,8.0,653.884552323,60488.2167784,Environment,217.961517441,No,277.517873286,Yes,Female,After_16:00,0.426597583108,0.83524412429,9.07915618503,3.76959151123,5.27533301851,8.94699079683,9865.0,69.5082352497,340.197693491,3455.57411984,41106.1090508,No,77016.1699931,,292.02007517,30.1917839097,47735.1846027,90.0,45_and_up,3.0,533.331662028,8.0,Public_or_other,Hightech,398.803901115,4.0,No
937,Yellows,10.0,988.621816158,66503.4253744,Environment,329.540605386,Yes,201.806467208,Yes,Male,By_16:00,0.641069765203,0.883986905916,8.66059972206,3.74561578268,7.20567871118,3.58287851559,3875.0,55.813107104,579.811650449,3177.68797298,57917.6060746,Yes,40725.8502069,24.0792784454,342.223018605,68.9552624011,108936.551203,90.0,Below_30,3.0,718.140786389,12.0,Car,Hightech,352.259308528,0.0,Yes
6574,Greens,4.0,445.860956918,43599.0152931,Financial,148.620318973,No,293.358375184,Yes,Male,By_16:00,0.746681843651,0.116063737078,4.23378869658,5.39829492569,2.87337963004,2.53068639897,9046.0,26.5765741002,491.423869276,3916.43149039,58068.6191866,No,86059.1362906,22.1680822192,229.117228609,78.9889182663,22246.6195305,60.0,Below_30,4.0,770.913347396,9.0,Public_or_other,Industry_or_other,598.592055059,1.0,Yes
1246,Pinks,2.0,386.852692924,44096.4345658,Environment,128.950897641,No,341.962990351,Yes,Male,After_16:00,0.7834624846,0.785552348476,9.21034759609,2.93158150511,0.442832915578,4.60741646588,3499.0,60.3031242266,363.581830734,4146.79356497,48011.6809468,No,116938.686769,19.0678218665,220.218878569,98.5908453353,16767.2849001,90.0,30-45,2.0,646.458286958,10.0,Foot_or_bicycle,Hightech,570.076680525,2.0,No
8978,Browns,9.0,143.87889727,23957.6642595,Financial,47.9596324234,No,499.538112553,Yes,Male,By_16:00,0.172031167662,0.215864819242,9.51422181679,9.59863492055,9.41204132512,9.91063607857,5667.0,45.6761680776,478.65392198,5952.68896949,57880.3552485,No,249538.325893,21.8781608455,27.6508195607,63.720497326,2358.08597461,60.0,45_and_up,0.0,721.957418791,6.0,Motorcycle_or_truck,Public_Sector,482.430155506,1.0,No
2826,Browns,6.0,91.938387572,10077.7982617,Financial,30.6461291907,No,328.844083342,Yes,Female,After_16:00,0.977547377115,0.922187278513,7.11060154485,1.68500223663,2.72951922147,8.59038651921,6128.0,39.5402056398,387.859071456,4064.15897633,45847.639333,No,108138.431149,19.6941379973,227.207160288,67.3304626951,979.831363563,60.0,Below_30,3.0,582.578533507,5.0,Foot_or_bicycle,Hightech,401.241921725,3.0,Yes
5404,Purples,2.0,144.309691409,18350.8242269,Environment,48.1032304697,No,381.488395846,Yes,Male,By_16:00,0.662031969754,0.837096753065,3.64332843106,3.44141458394,2.01229684753,2.85586785758,5057.0,26.5008417657,458.54267823,4731.96931492,54817.8875557,No,,21.4136096497,125.721015951,83.9136116905,2372.02401209,90.0,30-45,1.0,704.080088425,12.0,Public_or_other,Services_or_Retail,506.485676867,0.0,Yes
3050,Pinks,6.0,309.552861051,74485.8006009,Education,103.184287017,No,721.871544151,No,Male,By_16:00,0.958826544462,0.673949233489,5.35420860862,5.46866530553,8.82477185922,1.15713998908,9678.0,13.4062513476,679.000538763,8576.71651903,78716.6186098,No,521098.526254,26.0576387795,286.366946033,20.6226443872,10760.1813742,100.0,45_and_up,2.0,946.869362306,9.0,Car,Hightech,527.163446008,2.0,Yes
6303,Purples,5.0,707.429789319,102121.149973,Environment,235.809929773,No,433.065520487,Yes,Male,After_16:00,0.471740145236,0.2230973728,2.71864322014,5.01650434686,5.38900467101,0.216182938311,8297.0,41.590028326,485.788477961,5302.23216079,55911.4144886,No,187545.745034,22.0406097457,104.4082134,59.3590147095,55852.1329093,90.0,45_and_up,5.0,691.086234461,13.0,Car,Services_or_Retail,421.140104495,0.0,No
2390,Pinks,5.0,988.28122748,231552.600994,Education,329.427075827,No,702.894868047,No,Female,After_16:00,0.651207297575,0.570567284012,0.65287228208,5.41995777981,5.41964191478,8.56760988245,8769.0,99.0655033849,654.005141407,8336.95896328,75361.5041992,No,494061.195526,25.5735242274,255.340503522,59.1693207854,108861.625364,100.0,45_and_up,4.0,900.021942981,9.0,Public_or_other,Public_Sector,,0.0,No
8679,Browns,8.0,56.9030934949,9097.32440725,Education,18.9676978316,No,479.621959818,Yes,Female,After_16:00,0.940327466466,0.099291664781,8.11194004025,1.24050545273,4.33237767546,9.36175389681,8611.0,42.2211611178,429.506941998,5655.23348218,53142.1065179,No,230037.22434,20.7245492592,82.5954458067,75.6895277649,388.741258864,100.0,45_and_up,2.0,665.561440326,,Foot_or_bicycle,Public_Sector,462.08599309,2.0,No
8490,Pinks,5.0,368.165213612,36274.7469941,Financial,122.721737871,No,295.585343098,Yes,Female,By_16:00,0.231461742893,0.809571285034,2.53333300119,7.06420361297,,8.99884625338,9937.0,94.7225729702,367.681863387,3691.21715775,47458.2751063,No,87370.6950543,19.1750322917,252.297228202,53.4750470892,15193.3466839,60.0,30-45,3.0,643.489063591,5.0,Car,Hightech,566.033704465,0.0,No
6191,Oranges,7.0,350.825331455,50699.6795896,Military,116.941777152,No,433.546340961,Yes,Male,After_16:00,0.668248048751,0.302658666857,0.146357249469,9.30864355294,2.77398281032,4.80049727019,3201.0,82.7183191432,410.466055504,5156.39552062,48274.027564,Maybe,187962.429761,20.2599618831,186.328455099,45.7328266464,13802.3210206,30.0,30-45,2.0,588.131808557,6.0,Car,Industry_or_other,350.715449015,3.0,No
2771,Oranges,5.0,509.356774204,59638.9613448,Military,169.785591401,No,351.260438842,Yes,Male,By_16:00,0.0527021193411,0.832637275336,4.36441936763,4.44009399507,6.5983330342,7.80154449865,4065.0,65.5804783572,433.490508059,4379.58540454,52006.8417822,Maybe,123383.895896,20.8204348672,163.05236448,25.8632543264,29006.9326389,30.0,45_and_up,3.0,672.140841944,6.0,Motorcycle_or_truck,Student_or_Unemployed,493.746681614,0.0,No
1784,Greys,1.0,414.710271817,58595.7924663,Military,138.236757272,No,423.879969571,Yes,Female,By_16:00,0.224964583293,0.269682344748,7.34966536518,2.26762372069,1.13599747187,5.23875522194,6869.0,88.1241216324,481.010177553,5200.82005082,54154.8712221,Maybe,179674.228604,21.9319442265,153.401015481,46.8392157927,19257.6378184,30.0,30-45,4.0,659.386233605,7.0,Car,Student_or_Unemployed,368.178153701,0.0,Yes
1650,Oranges,6.0,544.484260726,77329.9184647,Other,181.494753575,No,426.072472847,Yes,Female,After_16:00,0.179338615388,0.035581048578,7.493254086,1.72392019536,0.337535899598,4.65485971188,6057.0,88.2679871516,325.45753055,4911.63978958,42619.4270963,Maybe,181537.752118,18.0404415287,211.549851855,75.8099117316,33131.8403289,,Below_30,3.0,538.553646821,7.0,Car,Industry_or_other,406.069244082,2.0,Yes
4356,Greens,5.0,147.942877423,13687.1267275,Social,49.3142924743,No,277.548881688,Yes,Female,After_16:00,0.340628477046,0.103403565707,8.61224627588,5.2316871495,1.60877526971,9.79746971279,6440.0,27.5058786618,514.571623206,3804.6320633,61117.5568837,No,77033.3817265,22.6841712039,275.76536191,23.849573615,2491.21373471,70.0,45_and_up,1.0,822.032306413,10.0,Motorcycle_or_truck,Public_Sector,662.325914716,0.0,Yes
2378,Purples,6.0,273.050431748,34682.5540592,Environment,91.0168105825,No,381.056574463,Yes,Female,After_16:00,0.638148489874,0.828465503408,6.3423059904,5.18605774734,3.16985772224,5.49472412793,8786.0,39.7559619742,335.292777326,4481.15129929,41609.9791491,No,145204.112942,18.311001538,246.0273114,38.3080798201,8385.0766192,90.0,30-45,0.0,520.49079176,11.0,Motorcycle_or_truck,Hightech,361.24326944,0.0,No
1360,Pinks,7.0,146.905885221,16021.7392892,Social,48.968628407,No,327.183746215,Yes,Male,After_16:00,0.384478210006,0.790263267932,,6.65972817224,6.68459454784,2.41893511731,5062.0,36.672294559,384.326072793,4040.48960773,50385.1096925,No,107049.203787,19.6042360931,236.217449702,5.13166079763,2456.89519647,70.0,45_and_up,1.0,684.63140934,8.0,Car,Hightech,612.03913841,1.0,Yes
7061,Greens,6.0,537.675464874,50883.6033169,Education,179.225154958,No,283.908825906,Yes,Male,By_16:00,0.803372997092,0.396294853184,3.65513170371,3.32300067646,3.96892773453,2.36484535038,5920.0,28.1489967369,512.762827127,3864.61391331,61325.740966,No,80604.2214273,22.6442669814,277.085231768,57.0222896524,32310.8813246,100.0,Below_30,1.0,826.361443427,14.0,Motorcycle_or_truck,Student_or_Unemployed,672.968032845,3.0,Yes
621,Greys,3.0,907.298345095,129904.306016,Foreign_Affairs,302.432781698,No,429.531168169,,Female,After_16:00,0.87724399846,0.0104670049623,2.23323559389,6.03469307302,4.78871144587,9.61832131259,3818.0,21.4571489487,485.62048996,5266.55266161,54495.784693,Maybe,184497.024429,22.0367985415,154.918879712,72.4768602755,91778.0202275,40.0,45_and_up,2.0,661.405375984,9.0,Public_or_other,Hightech,362.787636407,0.0,No
7483,Purples,5.0,115.807579249,14572.3916322,Healthcare,38.6025264165,No,377.498391556,Yes,Female,By_16:00,0.202287972439,0.581288490677,8.65487940842,3.83701347513,0.897648790851,8.61276363488,9053.0,66.9214385562,454.574658907,,55665.3826359,No,142505.035627,21.3207565276,143.806189918,83.0850562314,1538.75757215,80.0,45_and_up,1.0,726.90914667,12.0,Motorcycle_or_truck,Public_Sector,560.084228995,0.0,No
2216,Yellows,5.0,1024.08526931,48808.5539949,Financial,341.361756435,Yes,142.981904313,Yes,Female,By_16:00,0.991392865777,0.324360659579,,1.95778769674,3.27863961225,2.38513599383,5199.0,43.206486688,598.724150498,2627.26734413,59757.0093272,Yes,20443.8249611,24.4688403995,381.209946451,72.1516178921,116879.210513,60.0,Below_30,3.0,758.114815315,8.0,Car,Public_Sector,409.929778871,0.0,Yes
6106,Purples,6.0,136.115701015,18079.6912661,Environment,45.3719003383,No,398.477717073,Yes,Male,By_16:00,0.709613085492,0.734789855778,5.24728898192,1.24788926682,5.00544393668,9.47710505454,8550.0,98.9877864951,448.777349849,4882.33187043,53027.8948245,No,158784.491004,21.1843656938,124.191966155,13.5647786781,2113.98124065,90.0,Below_30,1.0,668.781857144,13.0,Motorcycle_or_truck,Hightech,450.068941146,1.0,No
9996,Greens,7.0,345.490971861,33055.3456663,,115.163657287,No,287.02931502,Yes,Male,After_16:00,0.106875319732,0.335389849264,9.32044359157,1.7143238266,7.66532366164,3.31129868282,4747.0,50.2931020921,492.941242028,3856.17563426,58945.3722785,No,82385.8276809,22.2022801088,252.849358782,24.377798778,13387.831617,70.0,45_and_up,,790.406018043,9.0,Motorcycle_or_truck,Services_or_Retail,636.111937431,0.0,No
2979,Greens,9.0,325.371561728,31152.3950712,Education,108.457187243,No,287.232186849,Yes,Female,By_16:00,0.633507532533,0.558030529646,0.607325141318,7.09302968346,9.77462260053,8.01155807683,3301.0,49.9805217609,518.661894412,3909.64565732,62116.4647935,No,82502.3291622,22.7741496968,282.15528411,50.6585985888,11881.4186518,100.0,30-45,1.0,837.70514244,13.0,Motorcycle_or_truck,Student_or_Unemployed,684.37243757,4.0,No
2610,Pinks,8.0,462.592203284,105791.390149,Healthcare,154.197401095,No,686.077647207,No,Female,By_16:00,0.962512796046,0.266654078849,1.49018759374,3.70572377462,2.20629663905,7.87314507179,9077.0,93.0127442582,637.4848026,8135.74607727,73791.1695837,No,470702.537997,25.2484613907,231.920376369,29.8166473396,23941.0359055,80.0,Below_30,2.0,884.280290825,9.0,Foot_or_bicycle,Student_or_Unemployed,483.872407529,0.0,Yes
4958,Greens,5.0,803.935765723,77868.477813,Education,267.978588574,No,290.577236888,Yes,Female,By_16:00,0.982053122949,0.588373892475,0.401343388949,6.9838225632,9.22986023827,7.35100030201,9278.0,60.7964160154,505.922447393,3917.61726366,60219.2532184,No,84435.1305973,22.4927198754,254.0658621,65.8670441946,,100.0,45_and_up,1.0,806.249761122,12.0,Public_or_other,Industry_or_other,643.72366956,1.0,Yes
4177,Purples,1.0,142.00187671,21902.6487077,Social,47.3339589032,No,462.725899444,Yes,Male,By_16:00,0.565375350649,0.530612346483,4.40453956602,3.37653819472,9.07285999274,4.25496928161,4108.0,74.4169926969,,5444.98788913,52528.7769759,No,214115.258017,20.2203968147,100.416370565,49.5777861914,2297.83762435,70.0,45_and_up,3.0,674.104525115,9.0,Public_or_other,Industry_or_other,519.70786512,2.0,No
1406,Pinks,4.0,377.767065396,86554.7270321,Healthcare,125.922355132,No,687.36585288,No,Female,By_16:00,0.635227609426,0.454895462841,3.57773235766,4.80040482944,7.35067405505,9.32549248915,5684.0,11.8432975141,643.352354801,8160.3632384,74287.4537286,No,472471.815706,25.3643914731,236.450887016,55.9829174075,15992.3618772,80.0,45_and_up,2.0,889.798179514,9.0,Motorcycle_or_truck,Services_or_Retail,484.08894981,0.0,No
6588,Browns,8.0,559.418440351,62671.8699554,,186.47281345,No,336.091190967,Yes,Female,By_16:00,0.803930584807,0.443711838685,3.02912574727,7.44793099351,0.93441379955,5.37527871085,7069.0,94.5187542588,366.521351442,4093.95461255,43808.6242892,No,112957.288646,19.1447473591,242.356319517,96.6820578091,34968.5829695,60.0,Below_30,1.0,554.203681641,5.0,Foot_or_bicycle,Hightech,,0.0,Yes
8599,Oranges,9.0,371.577288631,49134.2109523,Military,123.85909621,,396.694408854,Yes,Male,After_16:00,0.345650504343,0.0798288928345,1.36274364078,6.81394546991,4.75138505921,6.3319154433,4689.0,63.1891146069,355.104244406,4677.15257735,45790.0645224,Maybe,157366.454016,18.8442098377,181.856278023,75.7354932139,15474.9348103,30.0,30-45,2.0,590.522391707,7.0,Public_or_other,Services_or_Retail,462.518261713,0.0,No
1995,Blues,6.0,1120.78567321,283521.047009,Education,373.595224402,Yes,758.899012863,No,Male,By_16:00,0.9596746061,0.729525828734,8.4750794596,2.94889364392,7.79642340727,3.21443282533,6452.0,69.3079372169,564.045966733,8717.0820621,70254.7073093,Yes,575927.711724,23.7496519287,268.583801248,98.038944276,139956.98692,100.0,Below_30,2.0,849.395331172,16.0,Motorcycle_or_truck,Public_Sector,531.728119651,0.0,Yes
782,Blues,6.0,1324.8525963,42747.9974616,Education,441.617532101,Yes,96.7986874483,Yes,Male,After_16:00,0.950694295811,0.344446305884,7.7491861023,9.31071166648,1.72145403689,2.88877088344,6345.0,42.4319274956,281.592653355,1531.17218119,31358.303954,Yes,9369.98589172,16.7807226708,495.444212668,41.3096594159,195477.662191,100.0,45_and_up,4.0,419.315735002,12.0,Car,Services_or_Retail,312.404956477,1.0,No
7558,Greens,2.0,331.483024936,32075.9188208,Social,110.494341645,,290.294673402,Yes,Female,By_16:00,0.137446705019,0.442096441751,8.27650393127,1.82089635404,8.59287099214,2.92325288756,3354.0,80.5875680409,530.710053292,3964.36684061,62280.644163,No,84270.9974057,23.0371450768,258.125242638,37.9113486269,12329.4938773,70.0,Below_30,1.0,830.338742516,10.0,Car,Hightech,647.340454426,0.0,No
1226,Greens,6.0,352.118996541,32074.7375265,Social,117.372998847,No,273.271858447,Yes,Male,After_16:00,0.547777423402,0.141085817944,3.8871246879,2.51195705263,4.6985094971,4.86769924639,5249.0,4.41649213899,474.256971759,3681.23252799,57228.0414327,No,74677.5086192,21.7774418093,265.948587706,3.26862386428,13903.7938572,70.0,30-45,1.0,772.459810393,11.0,Foot_or_bicycle,Hightech,636.602699929,1.0,No
6500,Greens,6.0,200.078400879,23167.0884197,Financial,66.6928002929,No,347.370155668,Yes,Female,By_16:00,0.149169962155,0.432982999133,6.48336355807,4.48891703272,5.01867746934,9.7030189936,8472.0,79.6566972043,508.223655566,4490.14886781,61290.2988545,No,120666.025049,22.5438163487,207.48541126,1.71079523861,4524.6224112,60.0,Below_30,0.0,812.292952596,8.0,Foot_or_bicycle,Services_or_Retail,640.30929404,2.0,Yes
9863,Greys,3.0,90.1822703002,11307.1481076,Foreign_Affairs,30.0607567667,No,376.143162174,Yes,Female,After_16:00,0.00994160189293,0.720762380632,3.12630791916,2.79953096993,5.93465542188,4.5362224523,3960.0,76.3421803247,385.831306638,4533.09423502,46916.9283941,Maybe,141483.67845,19.6425891022,186.55543983,50.0645504333,943.709854156,40.0,Below_30,0.0,594.775320584,7.0,Foot_or_bicycle,Public_Sector,419.825656783,0.0,Yes
5349,Pinks,10.0,629.989693335,147892.292248,,209.996564445,No,704.260532255,No,Male,After_16:00,0.128082568292,0.742995256558,1.08998598065,1.714058246,9.48444864247,3.81883743219,6677.0,70.9429739974,652.462924848,8347.53117225,76201.6545563,No,495982.897292,25.5433538293,255.934973744,12.3567083385,44318.5536431,100.0,Below_30,3.0,919.212066461,11.0,Public_or_other,Services_or_Retail,523.138761744,0.0,Yes
3654,Greens,2.0,106.28956989,9141.34581076,Education,35.42985663,No,258.01249794,Yes,Male,By_16:00,0.50863625342,,3.37847358314,9.7388865822,9.09879982239,0.543679688126,4653.0,43.3480431559,477.60837118,3535.34172176,57516.6827573,No,66570.4490931,21.8542529312,284.943891201,92.0007233275,1300.70459745,100.0,Below_30,1.0,780.035753377,15.0,Motorcycle_or_truck,Services_or_Retail,648.773939042,0.0,Yes
625,Oranges,3.0,734.46555925,86025.1562093,Military,244.821853083,No,351.378584575,Yes,Male,After_16:00,0.750855419552,0.340885506943,6.97387534659,0.810346500948,9.75135955028,8.4120442532,4237.0,74.5950354263,370.831782748,4255.44941124,46730.2681136,Maybe,123466.909698,19.2569930869,,10.5605372461,60192.5616002,30.0,45_and_up,1.0,609.979714148,8.0,Car,Services_or_Retail,482.186502435,2.0,Yes
810,Purples,7.0,114.336687219,18102.3663832,Environment,38.1122290729,No,474.975272335,Yes,Male,After_16:00,0.270616969559,0.332709685434,0.547089127358,1.00992443506,0.477397204377,6.70084122801,3708.0,38.8416728936,396.350287673,5542.45329869,51450.1492081,No,225601.509329,19.9085481056,106.876404045,30.3519663401,1500.65423398,90.0,Below_30,1.0,657.85510276,15.0,Foot_or_bicycle,,507.284633242,1.0,Yes
9327,Purples,6.0,619.811496254,87200.0980986,Education,206.603832085,No,422.064282249,Yes,Male,After_16:00,0.589484461583,0.307020761073,2.00852110749,6.20308077661,4.8948063748,5.83786691306,4791.0,8.34574450273,473.04009149,,56968.7532446,No,178138.25835,21.7494848557,84.7607326765,8.51812313776,42901.7472642,100.0,45_and_up,3.0,727.734969853,14.0,Car,Public_Sector,519.584918574,2.0,Yes
6247,Purples,5.0,408.533041637,62269.1958867,Social,,No,457.264330227,Yes,Female,After_16:00,0.214714514557,,2.98321102513,0.498725748621,9.42000305746,2.52989858156,6030.0,90.5904039508,397.959145472,5368.56159322,,No,209090.667698,19.9489133908,120.209427107,50.7881377591,18690.5383594,70.0,45_and_up,2.0,630.375663322,10.0,Motorcycle_or_truck,Industry_or_other,452.971998749,2.0,Yes
8720,Greens,6.0,723.368987401,58596.9141567,Healthcare,241.1229958,No,243.016697608,Yes,Female,By_16:00,0.284732914995,0.41793991439,9.08906070981,0.625763901044,5.62710536877,2.82980253687,7341.0,51.4100033091,504.008292871,3438.18356182,59128.5184359,No,59057.1153163,22.4501290168,291.772771826,90.3510469245,58391.4220995,80.0,Below_30,2.0,796.965027842,10.0,Foot_or_bicycle,Student_or_Unemployed,638.111788993,0.0,Yes
7619,Reds,3.0,348.704479799,48998.9996228,Foreign_Affairs,116.2348266,No,421.551793521,Yes,Male,By_16:00,0.431932029082,0.0812144519296,9.5321047469,,4.43757391535,5.59950750088,9356.0,61.2499889452,366.497916632,4948.51376848,47915.5594113,Maybe,,19.1441353065,,99.4643242331,13636.7697413,40.0,30-45,2.0,620.467338905,7.0,Motorcycle_or_truck,Services_or_Retail,496.928069169,1.0,Yes
6726,Greens,1.0,436.07358423,46209.8258528,Healthcare,145.35786141,No,317.903864328,Yes,Male,By_16:00,0.963593456894,0.442617803346,8.98523629643,8.58464423567,5.84696769482,8.07020172942,9506.0,97.6082303561,510.981003676,4201.00065063,61006.8531727,No,101062.866955,22.6048889331,230.061727685,24.5203394676,21284.2657351,80.0,45_and_up,2.0,811.76040246,11.0,Public_or_other,Industry_or_other,640.174225438,0.0,No
7476,Greens,2.0,68.2012260389,6136.52993893,Social,22.733742013,No,269.930481987,Yes,Female,By_16:00,0.113582516555,0.834382561035,2.75318397675,7.67871455057,8.59357941197,2.45527936146,8173.0,7.486945251,518.824690064,3736.9542,61209.8067974,No,72862.4651058,22.7777235488,279.267209207,53.4917853307,549.556767924,70.0,Below_30,4.0,822.522517051,10.0,Public_or_other,Services_or_Retail,657.174495589,5.0,No
6340,Whites,8.0,507.764170666,78360.9049811,Environment,169.254723555,No,462.976177769,Yes,Female,By_16:00,0.0542719049845,0.20301489043,0.0903769955039,0.527240275405,3.45842394046,9.92379421135,,21.3248750661,442.546603542,5514.85498478,54948.3529374,No,214346.941182,21.0367916646,68.7670574201,22.5929195294,28826.4161694,90.0,45_and_up,2.0,698.372813833,9.0,Foot_or_bicycle,Hightech,507.566505738,0.0,Yes
38,Browns,10.0,237.687909854,24300.0990347,Social,79.2293032848,No,306.705953823,Yes,Male,After_16:00,0.914715841413,,1.98953302577,1.46270431578,8.89448955888,7.18401482096,3983.0,16.9103915337,365.372393768,3797.80432576,43616.4205254,No,94068.5421103,19.1147166803,,45.2809528215,6366.51180227,70.0,45_and_up,1.0,558.910702141,7.0,Public_or_other,Student_or_Unemployed,398.809904735,0.0,Yes
2985,Greys,6.0,126.652007204,21031.3032913,Military,42.2173357348,No,498.167469008,Yes,Female,After_16:00,0.531852138229,0.69158049766,9.51177313458,3.66271884413,9.35333062429,2.58769194596,8881.0,65.250366996,452.633714556,5886.94211919,53660.2778918,Maybe,248170.827178,21.275190118,119.350200122,19.6102690883,1834.52077228,30.0,45_and_up,2.0,652.420432484,9.0,Foot_or_bicycle,Student_or_Unemployed,390.466684965,0.0,No
1955,Browns,2.0,442.986667894,47540.3955806,Education,147.662222631,No,321.953677342,Yes,Female,After_16:00,0.129758227617,0.737767724786,9.95844574645,7.08427191712,8.19249383174,2.34496003482,9950.0,26.2614022242,382.342232572,3984.22123856,45605.7677649,No,103654.170354,19.5535733965,229.711857933,91.9074680656,21961.794215,100.0,45_and_up,4.0,583.807217143,10.0,Motorcycle_or_truck,Industry_or_other,415.007680189,1.0,Yes
9796,Oranges,1.0,629.953679151,87064.200183,Other,209.984559717,No,414.621914584,Yes,Female,After_16:00,0.0764117822982,0.776768579846,4.60778968874,4.07758668764,5.1653625397,1.63871140219,8590.0,12.1171462582,345.032462029,4836.2840699,44872.563331,Maybe,,18.5750494489,185.458292573,2.01822461095,44313.4998793,50.0,45_and_up,4.0,574.195620779,8.0,Public_or_other,Hightech,444.408426989,1.0,Yes
4262,Greens,3.0,245.701729859,23519.6704261,Education,81.9005766195,No,287.173441224,Yes,Female,After_16:00,0.542846509255,0.243846761528,9.68627753668,3.09105125722,9.83153183013,6.07073846273,9778.0,97.8934544837,500.044636444,3871.82368513,59630.1357705,No,82468.5853447,22.361677854,255.335013185,74.346684129,6799.60502723,100.0,45_and_up,3.0,799.292655055,13.0,Motorcycle_or_truck,Industry_or_other,641.070276266,0.0,No
8255,Browns,7.0,420.907055297,,Financial,140.302351766,No,304.71488907,Yes,Male,After_16:00,0.485481292941,0.703691505827,4.74477374693,5.22167338058,2.04495533137,7.23018187098,9047.0,42.0043987921,384.960377842,3817.06964638,45370.6219993,No,92851.163621,19.6204071783,244.453381193,59.6447817516,19835.0522627,60.0,45_and_up,1.0,581.145365003,6.0,Car,Hightech,408.419072077,0.0,No
5411,Greens,3.0,629.792294162,55830.4939522,Healthcare,209.930764721,No,265.947175615,Yes,Female,After_16:00,0.774398632813,0.555262357462,9.06105756992,6.64653936867,4.62227899814,0.178237140644,4361.0,70.1630473835,483.001964683,3625.47568552,57857.4949828,No,70727.9002178,21.9773056739,272.729577299,22.6566731697,44290.856741,80.0,30-45,2.0,780.779873227,14.0,Car,Student_or_Unemployed,638.966774902,0.0,Yes
